Threads,Average Latency,Min Latency,Max Latency
1,0.6414574384689331,0.39897894859313965,0.8839359283447266
10,1.8506038308143615,0.5933160781860352,3.5707380771636963
20,3.433693474531174,1.3702588081359863,6.3108580112457275
30,5.193056126435597,2.399703025817871,9.663908004760742
40,6.6959508687257765,2.4066078662872314,12.70802903175354
50,8.87679986000061,3.251009941101074,16.367373943328857
60,10.847188498576482,3.514524221420288,20.13994288444519
70,13.682619661944253,4.977047920227051,26.18133807182312
80,15.866586783528328,5.937340021133423,34.374709129333496
90,18.21243656343884,7.716677904129028,39.11470985412598
100,20.533249514102934,8.720603227615356,43.156753063201904
